Placement test score (%),Proficiency,Sex,Age,L1,Stay abroad in Spanish speaking country (>= 1 month),Proficiency (self-assessment) speaking,Proficiency (self-assessment) listening,Proficiency (self-assessment) reading,Proficiency (self-assessment) writing,Proficiency (self-assessment),Medium,Task number,Writting/audio details,Where the task was done
27.9,Lower beginner,Female,26.0,Arabic,No,Lower beginner (A1),Lower beginner (A1),Lower beginner (A1),Lower beginner (A1),0.0,Written,14,written_online,Outside classroom
34.9,Upper beginner,Female,26.0,Arabic,No,Lower beginner (A1),Lower beginner (A1),Upper beginner (A2),Lower beginner (A1),5.0,Written,14,written_online,Outside classroom
41.9,Upper beginner,Female,23.0,Arabic,No,Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),20.0,Written,14,written_online,Outside classroom
44.2,Upper beginner,Female,20.0,Arabic,No,Upper beginner (A2),Lower beginner (A1),Upper beginner (A2),Upper beginner (A2),15.0,Written,14,written_online,Outside classroom
46.5,Upper beginner,Female,21.0,Arabic,No,Lower beginner (A1),Lower beginner (A1),Lower beginner (A1),Lower beginner (A1),0.0,Written,14,written_online,Outside classroom
46.5,Upper beginner,Female,23.0,Arabic,No,Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),20.0,Written,14,written_online,Outside classroom
53.5,Lower intermediate,Female,21.0,Arabic,No,Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),20.0,Written,14,written_online,Outside classroom
53.5,Lower intermediate,Male,23.0,Arabic,No,Lower intermediate (B1),Upper intermediate (B2),Upper intermediate (B2),Lower intermediate (B1),50.0,Written,14,written_online,Outside classroom
58.1,Lower intermediate,Female,22.0,Arabic,No,Lower beginner (A1),Upper beginner (A2),Lower intermediate (B1),Lower intermediate (B1),25.0,Written,14,written_online,Outside classroom
60.5,Lower intermediate,Female,20.0,Arabic,No,Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),20.0,Written,14,written_online,Outside classroom
62.8,Lower intermediate,Male,19.0,Arabic,No,Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),20.0,Written,14,written_online,Outside classroom
62.8,Lower intermediate,Female,19.0,Arabic,No,Lower advanced (C1),Upper intermediate (B2),Upper intermediate (B2),Upper intermediate (B2),65.0,Written,14,written_online,Outside classroom
