Placement test score (%),Proficiency,Sex,Age,L1,Stay abroad in Spanish speaking country (>= 1 month),Proficiency (self-assessment) speaking,Proficiency (self-assessment) listening,Proficiency (self-assessment) reading,Proficiency (self-assessment) writing,Proficiency (self-assessment),Medium,Task number,Writting/audio details,Where the task was done
27.9,Lower beginner,Female,29.0,Russian,Yes,Lower beginner (A1),Lower beginner (A1),Lower beginner (A1),Lower beginner (A1),0.0,Written,14,written_online,Inside classroom
53.5,Lower intermediate,Male,17.0,Russian,No,Lower beginner (A1),Lower beginner (A1),Lower beginner (A1),Lower beginner (A1),0.0,Written,14,written_online,Outside classroom
53.5,Lower intermediate,Female,19.0,Russian,No,Lower beginner (A1),Lower beginner (A1),Lower beginner (A1),Lower beginner (A1),0.0,Written,14,written_online,Outside classroom
60.5,Lower intermediate,Male,20.0,Russian,No,Upper beginner (A2),Lower intermediate (B1),Lower intermediate (B1),Upper beginner (A2),30.0,Written,14,written_online,Inside classroom
60.5,Lower intermediate,Male,20.0,Russian,No,Upper beginner (A2),Lower intermediate (B1),Lower intermediate (B1),Upper beginner (A2),30.0,Written,14,written_online,Outside classroom
65.1,Lower intermediate,Female,18.0,Russian,No,Lower beginner (A1),Lower beginner (A1),Lower beginner (A1),Lower beginner (A1),0.0,Written,14,written_online,Outside classroom
65.1,Lower intermediate,Female,19.0,Russian,No,Lower intermediate (B1),Lower intermediate (B1),Lower intermediate (B1),Lower intermediate (B1),40.0,Written,14,written_online,Outside classroom
65.1,Lower intermediate,Female,20.0,Russian,No,Upper beginner (A2),Upper beginner (A2),Lower intermediate (B1),Upper beginner (A2),25.0,Written,14,written_online,Outside classroom
65.1,Lower intermediate,Female,20.0,Russian,Yes,Upper beginner (A2),Upper beginner (A2),Lower beginner (A1),Lower beginner (A1),10.0,Written,14,written_online,Outside classroom
65.1,Lower intermediate,Female,32.0,Russian,Yes,Lower beginner (A1),Upper beginner (A2),Upper beginner (A2),Lower beginner (A1),10.0,Written,14,written_online,Outside classroom
67.4,Upper intermediate,Female,19.0,Russian,No,Lower intermediate (B1),Lower intermediate (B1),Lower intermediate (B1),Lower intermediate (B1),40.0,Written,14,written_online,Outside classroom
67.4,Upper intermediate,Female,20.0,Russian,No,Lower intermediate (B1),Lower intermediate (B1),Lower intermediate (B1),Lower intermediate (B1),40.0,Written,14,written_online,Outside classroom
67.4,Upper intermediate,Female,29.0,Russian,No,Upper beginner (A2),Lower intermediate (B1),Lower intermediate (B1),Lower beginner (A1),25.0,Written,14,written_online,Outside classroom
69.8,Upper intermediate,Female,19.0,Russian,No,Lower beginner (A1),Lower beginner (A1),Upper beginner (A2),Upper beginner (A2),10.0,Written,14,written_online,Outside classroom
69.8,Upper intermediate,Female,19.0,Russian,No,Lower beginner (A1),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),15.0,Written,14,written_online,Outside classroom
72.1,Upper intermediate,Female,18.0,Russian,No,Lower beginner (A1),Lower beginner (A1),Lower beginner (A1),Lower beginner (A1),0.0,Written,14,written_online,Outside classroom
72.1,Upper intermediate,Female,18.0,Russian,No,Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),20.0,Written,14,written_online,Outside classroom
72.1,Upper intermediate,Female,19.0,Russian,Yes,Upper beginner (A2),Lower intermediate (B1),Lower intermediate (B1),Upper intermediate (B2),40.0,Written,14,written_online,Outside classroom
72.1,Upper intermediate,Female,21.0,Russian,No,Upper beginner (A2),Lower intermediate (B1),Lower intermediate (B1),Upper beginner (A2),30.0,Written,14,written_online,Outside classroom
74.4,Upper intermediate,Female,18.0,Russian,No,Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),Upper beginner (A2),20.0,Written,14,written_online,Outside classroom
74.4,Upper intermediate,Female,19.0,Russian,No,Upper beginner (A2),Upper beginner (A2),Lower intermediate (B1),Lower intermediate (B1),30.0,Written,14,written_online,Outside classroom
74.4,Upper intermediate,Female,21.0,Russian,No,Lower intermediate (B1),Lower advanced (C1),Lower advanced (C1),Upper beginner (A2),55.0,Written,14,written_online,Outside classroom
76.7,Upper intermediate,Female,17.0,Russian,No,Lower intermediate (B1),Lower intermediate (B1),Lower intermediate (B1),Lower intermediate (B1),40.0,Written,14,written_online,Outside classroom
76.7,Upper intermediate,Female,23.0,Russian,Yes,Upper intermediate (B2),Upper intermediate (B2),Lower intermediate (B1),Upper beginner (A2),45.0,Written,14,written_online,Outside classroom
76.7,Upper intermediate,Female,24.0,Russian,No,Upper beginner (A2),Upper intermediate (B2),Upper intermediate (B2),Upper beginner (A2),40.0,Written,14,written_online,Outside classroom
76.7,Upper intermediate,Male,40.0,Russian,Yes,Lower intermediate (B1),Lower intermediate (B1),Upper intermediate (B2),Upper intermediate (B2),50.0,Written,14,written_online,Outside classroom
79.1,Upper intermediate,Female,18.0,Russian,No,Upper beginner (A2),Upper beginner (A2),Lower intermediate (B1),Upper beginner (A2),25.0,Written,14,written_online,Outside classroom
